origin_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.01,0
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.025,0.6625907783142946
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.05,0.9895787234450596
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.1,1.5051667188107585
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.15000000000000002,1.657763762470685
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.2,1.7538568574591535
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.25,1.8065592556909935
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.3,1.8506498272332983
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.35000000000000003,1.887900563204819
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.4,1.9320911889083296
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.45,1.9665692245492163
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.5,1.9866624645033943
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.55,2.0187667318185833
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.6000000000000001,2.0483248574591535
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.6500000000000001,2.0852585101933414
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.7000000000000001,2.139852782095915
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.7500000000000001,2.1821964999786134
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.8,2.2552807132774713
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.8500000000000001,2.3735606601858934
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.9000000000000001,2.5109240732813434
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.95,3.042024071703465
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.975,3.5102173824591505
2015-12-19,2015-12-26,1,HHS Region 1,ili perc,quantile,0.99,4.434293297459149
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.01,0
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.025,0.26538985745915356
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.05,0.725977572214102
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.1,1.284118857459153
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.15000000000000002,1.5132447926109154
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.2,1.6330674634908382
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.25,1.7196398574591534
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.3,1.7707298574591537
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.35000000000000003,1.8188320746565187
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.4,1.8622969180682984
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.45,1.888480614550385
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.5,1.9134752180260275
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.55,1.9569435983661072
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.6000000000000001,1.9926968574591537
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.6500000000000001,2.0398263799157985
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.7000000000000001,2.0934020212505464
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.7500000000000001,2.1498946074591534
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.8,2.2849869197537394
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.8500000000000001,2.471926780180061
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.9000000000000001,2.810271211454339
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.95,3.3628922484547132
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.975,4.179632857459153
2015-12-19,2016-01-02,2,HHS Region 1,ili perc,quantile,0.99,5.97540129331426
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.01,0
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.025,0
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.05,0.6843052878788838
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.1,1.3272649494801736
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.15000000000000002,1.5569578574591536
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.2,1.6471813039233805
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.25,1.7278111428575034
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.3,1.7747298574591537
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.35000000000000003,1.8263005570508797
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.4,1.868282506725936
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.45,1.9101511889083296
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.5,1.9469789442613104
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.55,1.9702400472094952
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.6000000000000001,2.0172655909965935
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.6500000000000001,2.0633942317363756
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.7000000000000001,2.104732250853841
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.7500000000000001,2.1629488574591536
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.8,2.2318316073415265
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.8500000000000001,2.351082547364774
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.9000000000000001,2.631663050846073
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.95,3.057591780409174
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.975,3.6083008574591537
2015-12-19,2016-01-09,3,HHS Region 1,ili perc,quantile,0.99,4.120180802408574
2015-12-19,2015-12-26,1,HHS Region 10,ili perc,quantile,0.01,0
2015-12-19,2015-12-26,1,HHS Region 10,ili perc,quantile,0.025,0
